### Module positions - created on 2022-05-02 10:06
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 262.302mm, Pcb Width 344.834mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
L59           SK6812MINI_LED      YS-SK6812MINI-E               24.7000    83.2462    27.2000    83.9962       0.0    top       THD
SW44          SW_Push             CherryMX_Hotswap              -303.0250  222.0250   -310.1100  224.5650      0.0    top       THD
L44           SK6812MINI_LED      YS-SK6812MINI-E               -54.1400   12.9362    -51.6400   13.6862       0.0    top       THD
L40           SK6812MINI_LED      YS-SK6812MINI-E               15.9500    73.9262    18.4500    74.6762       0.0    top       THD
SW27          SW_Push             CherryMX_Hotswap              -330.0250  90.8250    -337.1100  93.3650       0.0    top       THD
SW2           SW_Push             CherryMX_Hotswap              -287.4250  242.2250   -294.5100  244.7650      0.0    top       THD
SW9           SW_Push             CherryMX_Hotswap              -343.4250  201.8250   -350.5100  204.3650      0.0    top       THD
L41           SK6812MINI_LED      YS-SK6812MINI-E               7.5100     72.7862    10.0100    73.5362       0.0    top       THD
SW54          SW_Push             CherryMX_Hotswap              -201.2250  242.3250   -208.3100  244.8650      0.0    top       THD
L48           SK6812MINI_LED      YS-SK6812MINI-E               -14.0500   47.0762    -11.5500   47.8262       0.0    top       THD
SW49          SW_Push             CherryMX_Hotswap              -282.8250  222.0250   -289.9100  224.5650      0.0    top       THD
SW38          SW_Push             CherryMX_Hotswap              -176.4250  201.9250   -183.5100  204.4650      0.0    top       THD
SW22          SW_Push             CherryMX_Hotswap              -363.6250  161.4250   -370.7100  163.9650      0.0    top       THD
L62           SK6812MINI_LED      YS-SK6812MINI-E               -89.8900   -25.2338   -87.3900   -24.4838      0.0    top       THD
## End
